sale_def,saleyymm,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool,property_id,pcode
518672,200307,4,4,5372,25911,15611.12,123.4,1,399,68
83355,200112,3,2,1132,6418,12349.73,2943.45,0,957,69
124023,200405,2,2,1225,13639,17651.21,5588.37,0,814,70
143968,200012,3,2,2141,13079,7074.38,425.18,1,916,71
82261,200009,3,2,1108,16395,11071.22,742.08,0,90,72
133912,200307,4,2.5,2135,5500,20764.63,447.88,0,773,73
118775,200107,3,2,1874,5624,16878.16,5773.2,0,349,74
130035,200305,3,2,1718,7627,6560.04,336.56,0,97,75
29686,200212,2,1,806,15972,9871.44,508.83,0,401,76
228450,200503,4,2,1858,6601,20192.43,8171.97,0,688,77
141928,200407,3,2,1164,6216,14828.82,5131.42,0,229,78
153244,200307,3,2,1402,11360,9035.35,500.49,0,395,79
117285,200401,3,1,1176,8113,8026.64,399.51,1,86,80
109087,200011,3,1,1372,11165,4005.48,167.99,0,16,81
310907,200108,3,3,2485,5419,15875.37,112.13,1,863,82
110144,200009,3,2.5,1742,6529,12046.56,3728.52,0,319,83
112897,200108,3,2,1310,4924,12169.7,265.64,0,530,84
100428,200504,3,1,1125,8235,10831.11,646.55,0,528,85
90870,200102,3,2,1350,17322,7512.64,110.64,0,674,86
108325,200004,3,2,1690,11250,30378.05,1883.24,0,225,87
117077,200409,3,2,1792,10687,7173.45,554.12,0,836,88
208885,200403,2,2,1228,12496,3100.01,308.04,0,767,89
59453,200409,2,1,1108,6846,7732.64,682.86,0,839,90
183513,200106,4,2,1979,9904,17287.96,421.34,1,854,91
352532,200408,3,2,1785,15343,5851.56,22.05,0,949,92
148134,200111,3,2,1878,8852,12994.98,162.33,0,992,93
86467,200410,3,1.5,1025,7641,18129.91,1128.95,0,522,94
164190,200412,3,2,1414,8613,16255.85,3179.58,0,878,95
356268,200304,4,4,3906,27284,26454.54,2082.75,1,371,96
173765,200205,3,2,1610,8700,14103.45,991.89,0,340,97
171182,200007,3,2,2157,8983,6741.35,276.1,0,161,98
187405,200406,3,1,1844,13000,3328.65,793.79,0,667,99
164013,200309,3,2,1704,5941,13083.41,4847.13,0,534,100
175472,200308,4,2,1920,9977,13517.05,5262.71,0,986,101
72402,200205,2,1,770,10668,10718.92,112.77,0,783,102
96536,200205,3,1,1437,10564,6999.55,201.3,0,391,103
302170,200408,4,2,1959,8678,9575.58,123.59,1,819,104
176764,200204,5,4,3520,4998,8499.79,520.48,0,291,105
126515,200411,2,2,1108,3439,18701.65,5478.4,0,297,106
114921,200303,4,2,1644,9243,9013.39,1124.53,1,335,107
116516,200106,2,1,1340,5881,9367.2,94.51,0,264,108
78021,200101,3,2,1524,6496,8734.63,638.45,0,617,109
229329,200110,4,3,2395,11539,19965.05,1096.31,0,873,110
213893,200410,3,2,1984,23160,21501.34,2292.04,0,655,111
230374,200305,4,2,2168,6425,16424.52,435.47,0,251,112
210281,200409,3,2,2032,9505,23601.81,582.57,0,305,113
75165,200006,4,2,1176,8250,14333.47,419.23,0,360,114
127985,200204,3,2,1480,7094,15995.31,63.23,0,57,115
83946,200101,3,2,1200,7366,19641.68,1248.58,0,327,116
202260,200207,4,3,2348,8938,12437.17,406.31,0,616,117
137258,200407,3,2,1538,9294,9346.68,1626.59,0,478,118
65702,200504,3,1.5,1172,6747,17697.55,714.9,0,1,119
99991,200407,2,2,940,5421,15984.47,28.68,0,656,120
139491,200304,4,2,1943,12777,13195.21,415.23,1,462,121
110915,200105,3,2,1316,9456,21438.54,97.25,1,828,122
81938,200111,3,2,1150,6001,10876.14,335.12,0,542,123
89694,200108,3,2,1164,5748,16870.85,5012.26,1,45,124
268835,200201,5,3,3205,17211,24857.9,800.83,1,248,125
105293,200108,3,2.5,1543,4499,12014.65,1491.97,0,21,126
110336,200307,3,2,1237,5997,8155.49,1076.88,0,876,127
91431,200502,2,2,1059,7236,21190.96,350.96,0,92,128
402790,200204,5,4,3635,22068,20857.29,533.57,0,833,129
137712,200206,3,2,1468,7644,18099.68,846.79,1,336,130
106709,200106,3,2,1657,10872,14920.69,197.21,0,309,131
174688,200404,4,2,1544,9713,4462.73,166.47,0,590,132
79996,200101,4,2,1298,8245,8515.42,744.16,0,263,133
117352,200004,3,2,1623,12001,12925.07,437.48,0,348,134
136680,200302,3,2.5,1784,5520,9432.61,1678.74,0,910,135
89642,200107,3,2,1542,9521,28064.93,1597.31,0,725,136
110463,200003,3,2,1469,8256,18026.68,2901.68,0,735,137
113979,200204,3,2,1459,4500,15104.97,351.61,0,785,138
145287,200205,3,2,1522,10739,8055.22,75.33,1,443,139
78249,200503,3,1.5,1042,6937,17716.05,704.13,0,901,140
252592,200304,4,3,2650,8524,14231.19,5099.51,0,739,141
83550,200001,2,1,1258,8396,6292.39,1402.21,0,574,142
175807,200305,4,2,1996,5492,22095.11,1240.55,0,70,143
183737,200405,4,2,1719,6091,20832.36,5287.79,1,741,144
158723,200312,4,2,1576,6890,14013.45,3574.04,0,995,145
132881,200202,4,2,1574,4403,19056.7,4083.74,0,230,146
151757,200504,3,2,1431,8036,12706.64,2151.75,0,959,147
168336,200305,3,2.5,1850,10020,18209.28,1788.69,1,26,148
168196,200008,3,2.5,2020,6458,21878.23,3491.26,0,930,149
93775,200309,3,1.5,1290,8378,8305.62,1118.42,1,403,150
224958,200504,4,3,2756,8260,20438.48,360.16,0,556,151
31093,200004,3,1,1038,4904,1449.71,657.88,0,169,152
155663,200407,4,2,1868,5972,19350.94,1674.54,0,293,153
86786,200205,3,1,912,7498,8754.8,1623.17,0,108,154
107359,200402,2,2,1115,7486,16431.36,487.91,0,788,155
196513,200304,4,3,2299,6077,21650.73,3578.68,0,461,156
84720,200110,2,2,958,10128,11619.78,300.07,0,634,157
184286,200209,4,2,1829,10611,4790.53,524.31,0,266,158
277914,200102,3,3,3050,12358,20218.71,1613.93,1,430,159
240978,200207,5,3,3724,11682,12405.74,4742.62,0,644,160
181232,200107,4,2,1931,12335,15120.41,2242.34,1,937,161
298217,200209,4,3.5,3080,14378,19295.6,248.5,1,584,162
146665,200311,4,2,2098,9640,11630.84,164.97,0,980,163
142399,200307,3,2,1619,5000,21398.93,7064.61,0,151,164
165491,200503,3,2,1659,10058,8430.76,826.01,1,524,165
170699,200203,3,2.5,1817,3640,16354.7,127.06,0,383,166
148991,200110,3,2,1532,8161,3459.74,560.91,0,925,167
125846,200309,2,2,1206,4059,23121.44,2408.05,0,507,168
305013,200012,4,3,2481,11220,17320.32,396.64,0,809,169
151085,200408,3,2,1614,6637,21823.89,865.13,0,601,170
203950,200208,4,2,2298,8819,21994.37,1031.21,0,311,171
793832,200009,4,4.5,4504,20499,18090.42,515.11,1,246,172
289444,200304,4,3,2774,14652,18522.89,93.19,1,296,173
119079,200103,3,2.5,1993,9690,15996.25,82.57,0,868,174
211567,200504,4,2,1768,9781,22534.39,158.43,0,659,175
126738,200310,3,2,1709,8810,11688.97,625.63,0,588,176
120361,200005,5,3,2376,7501,10107.93,1542.75,0,331,177
317279,200408,3,2,2267,11932,7161.36,613.94,0,794,178
199396,200409,4,2,1911,7810,14614.24,2088.57,1,903,179
89488,200311,2,2,908,6983,6411.11,737.66,0,592,180
181302,200407,3,1.5,1386,6234,3981.02,1021.27,0,320,181
149529,200106,4,2,2014,12619,12535.75,352.77,1,367,182
103432,200503,5,3,2010,10128,4704.55,619.61,0,754,183
77723,200203,3,1.5,1094,8258,9827.94,251.56,0,687,184
93496,200108,3,2,1248,6386,7119.35,1487.95,0,85,185
172900,200204,4,2,2616,10800,14744.47,335,1,843,186
106175,200010,4,2.5,2376,11538,9119.39,1728.22,0,722,187
234969,200205,4,3.5,3080,19283,19645.21,420.26,1,386,188
163190,200004,4,2.5,2319,5400,14815.37,325.2,0,226,189
169088,200012,4,2,2075,6618,20117.84,735.72,0,933,190
245222,200309,4,2,1770,14467,5249.28,16.74,0,728,191
250612,200305,5,3,2738,15428,12804.04,76.97,1,355,192
176257,200110,3,2,2143,8051,9876.76,217.43,0,612,193
133741,200211,3,2.5,1358,6199,18284.07,2106.23,0,140,194
353783,200406,5,3,3050,11491,20419.03,1742.52,1,982,195
94659,200410,3,1,1051,8794,14391.22,1277.79,0,981,196
142087,200204,3,2.5,1760,3802,16325.33,115.06,0,123,197
115693,200006,4,2.5,2142,6630,22125.95,604.38,0,578,198
74122,200004,3,2,1173,8539,18088.82,390.78,0,316,199
134128,200405,4,3,2755,10848,8998.23,999.48,0,652,200
239075,200305,4,3,2735,7101,20995.37,3301.45,1,450,201
147884,200404,5,2.5,1820,11110,9187.68,1670.19,0,77,202
200446,200202,4,2.5,2505,30864,11761.54,164.16,0,672,203
126739,200011,4,2.5,1430,5366,18872.87,4115.23,0,593,204
182401,200410,3,2,1849,6017,22824.39,2236.99,0,608,205
215000,200209,3,2,2679,9471,20893.69,5164.37,1,997,206
133220,200205,3,2,1419,13065,6930.29,741.47,0,445,207
93453,200104,4,2,1258,8186,8538.36,1838.71,0,958,208
281201,200408,4,3,3162,6168,22862.04,530.72,1,154,209
97292,200005,3,2,1304,9214,11948.71,3890.99,0,976,210
190572,200004,4,3,2523,11270,21112.27,5153.35,0,801,211
123672,200110,3,2,1675,5049,14537.51,4119.12,0,121,212
207682,200002,4,2,2323,6900,20069.13,2618.1,1,962,213
1883188,200406,5,5.5,4871,44481,19477.76,56.05,1,210,214
78877,200110,3,2,888,8010,16480.8,238.98,0,33,215
214546,200502,3,2.5,1824,5956,9872.53,179.52,0,884,216
154849,200003,4,2,1697,5750,21058.31,1813.09,0,74,217
113037,200303,3,2,1350,7315,9782.41,1209.93,1,84,218
142956,200204,3,2,1739,11417,14255.81,2450.85,0,520,219
123067,200307,3,2,1240,8658,13241.1,4916.6,0,341,220
450157,200405,4,3,2837,24000,18660.07,285.46,1,476,221
144555,200206,4,2,2039,8690,12472.93,4256.23,0,313,222
242835,200209,5,3,3688,9019,22589.15,828.31,0,378,223
343691,200111,6,3.5,3866,11561,20972.43,3530.11,1,6,224
121439,200309,3,2,1310,4523,9928.27,1788.94,0,111,225
49911,200006,3,2,1100,1999,21992.3,526.8,0,406,226
131599,200011,3,2,1621,10001,19732.15,562.1,0,236,227
134951,200010,2,2,1008,7050,3830.82,955.08,0,581,228
184656,200405,3,2,1830,21851,14529.02,642.55,0,805,229
157828,200001,4,2,2478,15684,19506.74,878.25,0,808,230
116878,200002,3,2,1929,13073,15976.96,3295.72,0,630,231
415521,200012,5,3.5,2882,13771,17850.02,620.59,1,889,232
155593,200104,3,2,1819,13632,15030.18,308.84,0,929,233
105442,200003,3,2,1314,7131,9178.05,947.77,0,323,234
